         *     2.000     0.000     0.000     1.000     0.000     1.000     1.638     0.449    -1.638    -0.258    -0.359    -0.698    -0.262    -0.099     1.846    -0.543    -0.641    -0.443    -0.815    -0.098     0.570    -0.158     0.000     0.000     0.000     0.000     0.000     0.000     0.915     0.000     0.084     0.000     4.000     1.000     7.000 0
         *     1.000     0.000     0.000     0.000     1.000     0.000    -0.475    -0.667     0.475    -0.122     0.708    -0.481     2.200     3.147    -0.556     0.234    -0.276    -0.457    -0.351    -0.376    -0.320    -0.035     0.000     0.000     0.998     0.000     0.000     0.000     0.000     0.000     0.002     0.000     2.000     1.000     3.000 0
         *     2.000     0.000     0.000     1.000     0.000     0.000     0.652     1.007    -0.652    -0.965    -0.779     0.321    -0.342    -0.078    -0.867     1.556    -0.474    -0.470     0.122    -0.369    -0.460    -0.585     0.000     0.000     0.000     0.000     0.003     0.000     0.014     0.000     0.983     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     1.000     0.000     0.000     0.229     0.449    -0.229    -0.855    -0.241    -0.286    -0.383    -0.196    -0.737    -0.804    -0.365    -0.320    -0.144    -0.262     0.340    -0.290     0.000     0.000     0.001     0.000     0.002     0.000     0.002     0.000     0.995     0.000     5.000     1.000     9.000 0
         *     1.000     0.000     0.000     1.000     0.000     0.000     1.074    -1.225    -1.074    -0.827     1.500    -0.507    -0.367    -0.346    -0.838     0.484    -0.374    -0.253    -0.181    -0.240    -0.040    -0.281     0.000     0.000     0.002     0.000     0.002     0.000     0.382     0.000     0.614     0.000     5.000     1.000     9.000 0
         *     1.000     0.000     0.000     1.000     0.000     0.000    -0.475    -0.667     0.475    -0.122     0.708    -0.481    -0.497    -0.441    -0.388     0.333    -0.364    -0.240    -0.091    -0.298    -0.244    -0.368     0.000     0.000     0.004     0.000     0.003     0.000     0.000     0.000     0.993     0.000     5.000     1.000     9.000 0
         *     0.000     0.000     0.000     1.000     0.000     0.000    -0.334     1.007     0.334    -0.324    -0.965     0.561    -0.449    -0.195    -0.520     1.620    -0.461    -0.419     0.205    -0.396    -0.659    -0.627     0.000     0.000     0.000     0.000     0.003     0.000     0.000     0.000     0.996     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     1.000     0.000     0.000     0.934     0.449    -0.934    -0.900    -0.213    -0.476    -0.315    -0.131    -0.904    -0.819    -0.342    -0.341    -0.191    -0.239     0.430    -0.259     0.000     0.000     0.000     0.000     0.002     0.000     0.091     0.000     0.906     0.000     5.000     1.000     9.000 0
         *     1.000     0.000     0.000     1.000     0.000     0.000    -0.475     3.239     0.475    -0.122    -3.323     7.069    -0.583     0.088    -0.427    -3.771    -0.366    -0.052     0.655    -0.121     1.528    -0.058     0.000     0.000     0.000     0.000     0.007     0.000     0.000     0.000     0.992     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     0.000     0.000     1.000     1.074     1.007    -1.074    -0.827    -0.804     0.200     2.393    -0.040     2.315    -0.714    -0.780    -0.492    -0.840    -0.091    -1.818    -1.062     0.000     0.000     0.039     0.000     0.006     0.000     0.381     0.000     0.574     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     1.000     0.000     0.000    -0.897    -0.667     0.897     0.648     0.503    -0.400    -0.554    -0.514    -0.143     0.396    -0.320    -0.199    -0.041    -0.306    -0.392    -0.385     0.000     0.000     0.001     0.000     0.002     0.000     0.000     0.000     0.997     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     1.000     0.000     0.000    -0.616     1.565     0.616     0.107    -1.657     1.697    -0.498    -0.164    -0.378     0.611    -0.419    -0.345     0.307    -0.355    -0.323    -0.540     0.000     0.000     0.000     0.000     0.003     0.000     0.000     0.000     0.997     0.000     5.000     1.000     9.000 0
         *     0.000     0.000     0.000     1.000     0.000     0.000    -1.038    -1.225     1.038     0.959     0.996    -0.012    -0.607    -0.615    -0.015     0.651    -0.313    -0.127     0.009    -0.295    -0.519    -0.370     0.000     0.000     0.003     0.000     0.002     0.000     0.000     0.000     0.995     0.000     5.000     1.000     9.000 0
         *     2.000     0.000     0.000     1.000     0.000     1.000     0.229    -0.109    -0.229    -0.855     0.335    -0.643    -0.393    -0.271     2.066     0.074    -0.758    -0.426    -0.763    -0.166     0.230    -0.261     0.000     0.000     0.001     0.000     0.004     0.000     0.006     0.000     0.989     0.000     5.000     1.000     9.000 0
