RE78 TREAT MARR NODEGREE BLACK HISPANIC EDUC AGE RE74 RE75 U74 U75 TYPE
9930 1 1 1 1 0 11 37 0 0 1 1 EXP
3595.9 1 0 1 0 1 9 22 0 0 1 1 EXP
24909.5 1 0 0 1 0 12 30 0 0 1 1 EXP
7506.1 1 0 1 1 0 11 27 0 0 1 1 EXP
289.8 1 0 1 1 0 8 33 0 0 1 1 EXP
4056.5 1 0 1 1 0 9 22 0 0 1 1 EXP
0 1 0 0 1 0 12 23 0 0 1 1 EXP
8472.2 1 0 1 1 0 11 32 0 0 1 1 EXP
2164 1 0 0 1 0 16 22 0 0 1 1 EXP
12418.1 1 1 0 0 0 12 33 0 0 1 1 EXP
8173.9 1 0 1 1 0 9 19 0 0 1 1 EXP
17094.6 1 0 0 1 0 13 21 0 0 1 1 EXP
0 1 0 1 1 0 8 18 0 0 1 1 EXP
18739.9 1 1 1 1 0 10 27 0 0 1 1 EXP
3023.9 1 0 1 1 0 7 17 0 0 1 1 EXP
3228.5 1 0 1 1 0 10 19 0 0 1 1 EXP
14581.9 1 0 0 1 0 13 27 0 0 1 1 EXP
7693.4 1 0 1 1 0 10 23 0 0 1 1 EXP
10804.3 1 0 0 1 0 12 40 0 0 1 1 EXP
10747.4 1 0 0 1 0 12 26 0 0 1 1 EXP
0 1 0 1 1 0 11 23 0 0 1 1 EXP
5149.5 1 0 0 0 0 14 41 0 0 1 1 EXP
6408.9 1 0 1 0 0 9 38 0 0 1 1 EXP
1991.4 1 0 1 1 0 11 24 0 0 1 1 EXP
11163.2 1 0 1 1 0 10 18 0 0 1 1 EXP
9643 1 1 1 1 0 11 29 0 0 1 1 EXP
9897 1 0 1 1 0 11 25 0 0 1 1 EXP
11142.9 1 0 1 0 1 10 27 0 0 1 1 EXP
16218 1 0 1 1 0 10 17 0 0 1 1 EXP
995.7 1 0 1 1 0 11 24 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
6551.6 1 0 1 1 0 4 48 0 0 1 1 EXP
1574.4 1 1 1 1 0 11 25 0 0 1 1 EXP
0 1 0 0 1 0 12 20 0 0 1 1 EXP
3191.8 1 0 0 1 0 12 25 0 0 1 1 EXP
20505.9 1 0 0 1 0 14 42 0 0 1 1 EXP
6181.9 1 0 1 1 0 5 25 0 0 1 1 EXP
5911.6 1 1 0 1 0 12 23 0 0 1 1 EXP
3094.2 1 1 1 1 0 8 46 0 0 1 1 EXP
0 1 0 1 1 0 10 24 0 0 1 1 EXP
1254.6 1 0 0 1 0 12 21 0 0 1 1 EXP
13188.8 1 0 1 0 0 9 19 0 0 1 1 EXP
8061.5 1 0 1 1 0 8 17 0 0 1 1 EXP
2788 1 1 1 0 1 8 18 0 0 1 1 EXP
3972.5 1 0 1 1 0 11 20 0 0 1 1 EXP
0 1 1 1 1 0 11 25 0 0 1 1 EXP
0 1 0 1 1 0 8 17 0 0 1 1 EXP
0 1 0 1 1 0 9 17 0 0 1 1 EXP
12187.4 1 0 1 1 0 5 25 0 0 1 1 EXP
4843.2 1 0 0 1 0 12 23 0 0 1 1 EXP
0 1 0 1 1 0 8 28 0 0 1 1 EXP
